Intron	Coordinates	type	txRegion	PTCstatus
EIE000001:WASH7P:NR_024540:10	chr1-14362:14829_14970:15038	A	NonCoding	N/A
EIE000002:WASH7P:NR_024540:9	chr1-14970:15038_15796:15947	A	NonCoding	N/A
EIE000003:WASH7P:NR_024540:8	chr1-15796:15947_16607:16765	A	NonCoding	N/A
EIE000004:WASH7P:NR_024540:7	chr1-16607:16765_16858:17055	A	NonCoding	N/A
EIE000005:WASH7P:NR_024540:6	chr1-16858:17055_17233:17368	A	NonCoding	N/A
EIE000006:WASH7P:NR_024540:5	chr1-17233:17368_17606:17742	A	NonCoding	N/A
EIE000007:WASH7P:NR_024540:4	chr1-17606:17742_17915:18061	A	NonCoding	N/A
EIE000008:WASH7P:NR_024540:3	chr1-17915:18061_18268:18366	A	NonCoding	N/A
EIE000009:WASH7P:NR_024540:2	chr1-18268:18366_24738:24891	NA	NonCoding	N/A
EIE000010:WASH7P:NR_024540:1	chr1-24738:24891_29321:29370	NA	NonCoding	N/A
EIE000011:FAM138A:NR_026818:2	chr1-34611:35174_35277:35481	NA	NA	N/A
EIE000012:FAM138F:NR_026820:2	chr1-34611:35174_35277:35481	NA	NA	N/A
EIE000013:FAM138A:NR_026818:1	chr1-35277:35481_35721:36081	NA	NA	N/A
EIE000014:FAM138F:NR_026820:1	chr1-35277:35481_35721:36081	NA	NA	N/A
EIE000015:LOC100133331:NR_028327:1	chr1+323892:324060_324288:324345	NA	NA	N/A
EIE000016:LOC100132287:NR_028322:1	chr1+323892:324060_324288:324345	NA	NA	N/A
EIE000017:LOC100132062:NR_028325:1	chr1+323892:324060_324288:324345	NA	NA	N/A
EIE000018:LOC100133331:NR_028327:2	chr1+324288:324345_324439:326938	NA	NA	N/A
EIE000019:LOC100132287:NR_028322:2	chr1+324288:324345_324439:328581	NA	NA	N/A
EIE000020:LOC100132062:NR_028325:2	chr1+324288:324345_324439:328581	NA	NA	N/A
EIE000021:LOC100133331:NR_028327:3	chr1+324439:326938_327036:328581	NA	NA	N/A
EIE000022:LOC100133331:NR_028327:2	chr1-661139:665184_665278:665335	NA	NA	N/A
EIE000023:LOC100133331:NR_028327:1	chr1-665278:665335_665563:665731	NA	NA	N/A
